timestamp,episode,round_index,winner,kills_p1,kills_p2,deaths_p1,deaths_p2,alive_p1,alive_p2,score_p1,score_p2
1771518787,1,9,2,0,0,0,0,54.400,54.933,-183.551,406.546
1771518794,1,5,2,0,0,0,0,34.000,34.533,-488.283,844.829
1771518794,1,6,1,0,0,0,0,91.867,91.600,-2607.809,-1913.488
1771518795,1,7,1,0,0,0,0,84.533,84.267,-1443.681,-527.258
1771518799,1,6,1,0,0,0,0,87.200,86.800,-3821.210,-3399.789
1771518800,1,6,1,0,0,0,0,86.133,85.867,-2333.051,-2682.235
1771518802,1,9,2,0,0,0,0,115.200,115.333,-4104.686,-3359.557
1771518802,1,8,1,0,0,0,0,122.267,122.133,-16080.661,-13943.435
1771518802,1,7,1,0,0,0,0,104.800,104.667,-2267.522,-2399.176
1771518804,1,8,1,0,0,0,0,134.267,134.133,-1988.580,-2066.310
1771518804,1,6,1,0,0,0,0,53.600,53.067,-261.424,-445.910
1771518805,1,8,1,0,0,0,0,117.467,117.600,-2392.514,-1489.188
1771518806,1,9,1,0,0,0,0,123.333,123.200,-4884.286,-3457.461
1771518807,1,8,1,0,0,0,0,126.267,126.533,-3945.274,-2102.171
1771518808,1,10,2,0,0,0,0,110.800,111.200,-872.234,-1120.798
1771518809,1,6,1,0,0,0,0,84.533,84.400,-2696.174,-1437.078
1771518811,1,8,1,0,0,0,0,140.933,141.200,-4327.723,-3274.888
1771518812,1,8,1,0,0,0,0,105.733,105.733,-2150.709,-720.553
1771518814,1,7,1,0,0,0,0,91.867,91.733,-9486.881,-10162.023
1771518814,1,5,1,0,0,0,0,74.800,74.267,-395.673,-1262.601
1771518816,1,6,1,0,0,0,0,81.067,80.800,-784.580,-920.337
1771518816,1,6,1,0,0,0,0,99.467,99.333,-4333.454,-3558.176
1771518817,1,8,1,0,0,0,0,133.067,132.800,-2889.811,-2085.154
1771518817,1,7,1,0,0,0,0,98.667,98.533,-3465.401,-2964.210
1771518818,1,8,1,0,0,0,0,110.667,110.400,-2259.022,-2406.273
1771518822,1,7,2,0,0,0,0,51.733,52.400,-614.348,400.844
1771518830,1,7,2,0,0,0,0,88.400,88.400,-1140.725,-576.300
1771518831,1,6,1,0,0,0,0,76.400,76.133,-1459.344,-1510.076
1771518833,1,6,1,0,0,0,0,102.000,101.733,-6305.146,-5372.355
1771518833,1,9,2,0,0,0,0,77.200,77.333,-1238.076,-866.973
1771518834,1,7,2,0,0,0,0,47.600,48.133,-481.021,1049.277
1771518834,1,9,1,0,0,0,0,79.733,79.600,-1046.993,-789.929
1771518835,1,8,1,0,0,0,0,86.667,86.400,-917.156,-908.226
1771518837,1,6,1,0,0,0,0,73.067,72.800,-1166.180,-1332.325
1771518838,1,6,2,0,0,0,0,48.933,49.600,-570.753,879.700
1771518839,1,9,1,0,0,0,0,92.933,92.800,-1452.933,-1062.185
1771518839,1,9,2,0,0,0,0,90.133,90.267,-1466.908,-1156.780
1771518839,1,8,2,0,0,0,0,126.667,126.933,-4877.936,-4285.652
1771518839,1,9,2,0,0,0,0,87.600,88.000,-988.544,-222.299
1771518840,1,9,2,0,0,0,0,114.000,114.267,-2969.517,-1989.913
1771518843,1,9,1,0,0,0,0,135.867,135.733,-2185.498,-1554.529
1771518844,1,9,1,0,0,0,0,146.133,146.133,-3840.954,-2624.276
1771518846,1,8,2,0,0,0,0,97.467,97.733,-5278.543,-3098.916
1771518847,1,9,2,0,0,0,0,89.867,90.133,-1448.331,-448.540
1771518847,1,5,1,0,0,0,0,56.933,56.267,-8.859,-691.392
1771518848,1,7,2,0,0,0,0,86.400,86.933,-2339.647,-842.153
1771518849,1,6,1,0,0,0,0,88.533,88.400,-3232.572,-2812.692
1771518849,1,7,1,0,0,0,0,81.333,81.200,-2003.044,-2667.879
1771518852,1,9,2,0,0,0,0,141.067,141.467,-2872.605,-1945.621
1771518854,1,9,1,0,0,0,0,122.533,122.533,-1140.192,-926.990
1771518857,1,8,2,0,0,0,0,30.000,30.267,39.979,1070.512
1771518867,1,10,2,0,0,0,0,96.133,96.267,-898.451,268.559
1771518868,1,6,1,0,0,0,0,81.333,81.067,-1689.782,-1345.353
1771518869,1,7,2,0,0,0,0,68.933,69.200,-1355.604,-345.783
1771518869,1,6,1,0,0,0,0,86.133,85.867,-1413.043,-1254.755
1771518872,1,8,1,0,0,0,0,100.533,100.400,-1572.491,-676.841
1771518873,1,6,1,0,0,0,0,88.267,88.000,-2026.293,-1703.502
1771518873,1,8,1,0,0,0,0,99.733,99.600,-1844.919,-1179.942
1771518874,1,6,1,0,0,0,0,79.867,79.467,-1910.955,-2067.268
1771518874,1,9,1,0,0,0,0,95.867,95.600,-1448.029,-1145.470
1771518875,1,6,1,0,0,0,0,87.600,87.333,-2502.538,-1694.051
1771518875,1,8,2,0,0,0,0,84.667,84.933,-199.744,-618.086
1771518876,1,8,1,0,0,0,0,112.133,112.000,-4255.366,-2879.354
1771518878,1,9,1,0,0,0,0,115.467,115.333,-4023.225,-3382.795
1771518879,1,8,2,0,0,0,0,34.267,34.400,-4.671,812.523
1771518879,1,10,1,0,0,0,0,164.267,164.267,-3778.580,-2686.179
1771518881,1,7,1,0,0,0,0,82.667,82.400,-2272.391,-3617.455
1771518884,1,8,1,0,0,0,0,103.467,103.467,-1903.346,-997.190
1771518884,1,7,1,0,0,0,0,79.333,78.933,-1486.552,-1251.414
1771518884,1,8,1,0,0,0,0,70.800,70.533,-184.323,-291.143
1771518886,1,6,1,0,0,0,0,91.067,90.800,-1842.144,-1413.630
1771518887,1,7,2,0,0,0,0,88.533,88.933,-2772.382,-1601.664
1771518887,1,6,1,0,0,0,0,97.600,97.467,-3696.877,-3106.037
1771518888,1,8,2,0,0,0,0,101.067,101.467,-1892.666,-1073.524
